KT_Old_Accurate	KT_New_Accurate	KF_Old_Accurate	KF_New_Accurate	UT_Old_Accurate	UT_New_Accurate	UF_Old_Accurate	UF_New_Accurate	Imp1_2	Imp2_2	Imp3_2	Imp4_2	Condition	Random	Google	Random2	StartDate	EndDate	Finished	confirmCode	IDInst	Inst_Familiarity	Imp1_1	Imp2_1	Imp3_1	Imp4_1	Plau1_1	Plau2_1	Plau3_1	Plau4_1	True1_1	True2_1	True3_1	True4_1	True5_1	True6_1	True7_1	True8_1	True9_1	True10_1	False1_1	False2_1	False3_1	False4_1	False5_1	False6_1	False7_1	False8_1	False9_1	False10_1	Age	Sex	Education	English	Zipcode	PANAS	PANAS_1	PANAS_2	PANAS_3	PANAS_4	PANAS_5	PANAS_6	PANAS_7	PANAS_8	PANAS_9	PANAS_10	PANAS_11	PANAS_12	PANAS_13	PANAS_14	PANAS_15	PANAS_16	PANAS_17	PANAS_18	PANAS_19	PANAS_20	Inst_Accuracy	Plau1_2	Plau2_2	Plau3_2	Plau4_2	True1_2	True2_2	True3_2	True4_2	True5_2	True6_2	True7_2	True8_2	True9_2	True10_2	False1_2	False2_2	False3_2	False4_2	False5_2	False6_2	False7_2	False8_2	False9_2	False10_2	Comments	Length	LocationLatitude	LocationLongitude	LocationAccuracy
6	6	1	1	3.8	4.4	3.4	3.2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	641034	1	1	4	4	 	 	2	2	 	 	3	1	5	4	4	 	 	 	 	 	5	2	2	5	3	 	 	 	 	 	33	2	5	1	76209	1	1	3	1	3	2	1	1	1	1	1	 	3	 	1	4	3	3	1	1	1	1	6	6	6	6	4	3	4	4	4	6	4	3	4	5	2	3	4	4	4	4	3	1	4	4	no	5 minutes	32.91929626	-96.98200226	-1
6	6	1	1	3.4	5.8	3.2	3	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	75224	1	1	1	1	 	 	1	1	 	 	2	1	 	4	4	 	 	 	 	 	3	2	4	5	5	 	 	 	 	 	40	1	5	1	20878	1	2	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	3	1	1	1	1	6	6	6	6	5	2	2	3	5	6	6	6	5	6	4	3	3	2	4	1	3	3	5	3	No	5 minutes	39.13169861	-77.28800201	-1
5.5	4.5	1	1	4.2	3.8	4.6	3.8	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	336353	1	1	2	2	 	 	3	3	 	 	4	4	5	5	4	 	 	 	 	 	2	4	6	4	5	 	 	 	 	 	24	1	3	1	92308	1	3	1	2	1	2	1	1	1	2	4	1	3	1	2	1	3	5	1	3	1	1	5	6	5	4	5	4	4	4	4	4	4	4	4	3	4	5	4	5	5	4	4	3	4	4	"Some of these questions I didn't know, although I took in consideration of my decisions and didn't randomly choose an option."	About 10 minutes	34.97009277	-116.9929047	-1
6	6	1	1	4.2	3.4	4.8	4.2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	965580	1	1	1	1	 	 	1	2	 	 	6	2	3	4	3	 	 	 	 	 	2	2	2	5	4	 	 	 	 	 	27	1	5	1	97204	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	2	4	3	1	1	1	1	6	6	6	6	5	3	4	4	5	4	4	4	4	1	5	4	5	5	5	4	4	4	5	4	Thanks	8 minutes	39.73919678	-104.9847031	-1
6	5.5	1	1	3.8	5.2	3.6	2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	852432	1	1	2	2	 	 	1	1	 	 	4	3	5	6	5	 	 	 	 	 	5	4	4	5	4	 	 	 	 	 	29	2	6	1	60657	1	4	2	2	2	3	1	2	1	3	2	1	4	1	3	3	4	4	2	3	2	1	6	6	5	6	5	1	4	5	4	6	5	3	6	6	4	4	2	4	4	3	1	1	4	1	This was fun	4 minutes	41.84829712	-87.65170288	-1
6	6	1	1	4.8	5.2	3.6	4.2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	279823	1	1	2	1	 	 	1	1	 	 	3	2	5	4	6	 	 	 	 	 	3	4	3	5	5	 	 	 	 	 	24	2	3	1	64747	1	4	1	2	1	3	1	1	1	3	3	1	4	1	2	1	3	5	1	3	1	1	6	6	6	6	6	5	4	5	4	5	6	5	4	6	4	5	3	2	4	4	1	6	5	5	 	5 mins	38.70309448	-94.47370148	-1
5.5	6	1	1	3.8	4	3.6	3.6	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	530703	1	1	1	1	 	 	3	2	 	 	5	3	5	5	4	 	 	 	 	 	3	2	4	5	3	 	 	 	 	 	23	2	5	1	48152	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	3	2	1	1	1	5	6	6	6	4	3	4	4	4	6	3	4	2	5	4	4	3	3	4	4	3	2	4	5	No	5 minutes	42.42500305	-83.37439728	-1
6	6	1	1	5.8	5.2	3	2.6	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	218410	1	1	1	1	 	 	1	1	 	 	6	4	5	5	4	 	 	 	 	 	6	5	6	6	6	 	 	 	 	 	36	2	5	1	89128	1	4	1	3	1	4	1	1	1	4	4	1	4	1	3	1	4	4	1	4	1	1	6	6	6	6	6	6	6	6	5	6	3	6	6	5	3	4	1	1	6	3	1	2	1	6	"Thanks, interesting facts!"	10 min	36.2348938	-115.2904968	-1
5	5.5	1	1	2.6	4	3.2	2.4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	600434	1	1	2	2	 	 	2	1	 	 	3	3	4	4	5	 	 	 	 	 	2	3	4	4	4	 	 	 	 	 	26	1	5	1	75025	1	3	1	3	1	2	2	2	2	2	3	2	3	2	2	1	2	4	2	4	2	1	5	5	6	5	3	3	1	3	3	5	4	4	4	3	2	3	3	4	4	2	2	1	4	3	 	6 minutes	32.76730347	-96.62470245	-1
6	6	1	1	4.4	4.8	2.6	2.4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	194490	1	1	5	2	 	 	2	2	 	 	3	3	2	4	4	 	 	 	 	 	4	5	4	5	4	 	 	 	 	 	46	2	3	1	10940	1	3	1	2	1	2	1	1	2	2	1	3	2	1	1	2	2	3	2	2	1	1	6	6	6	6	5	2	5	4	6	6	6	6	5	1	1	3	2	2	5	2	1	3	5	1	"The first questions were a bit confusing, whether or not I found them interesting did not necessarily mean I thought they were, or were not, true"	12 minutes?	41.61819458	-74.33609772	-1
